Cycle 64, cell 229 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1611, cell 8883 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1611, cell 8763 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1611, cell 8643 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 8885 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9200 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9192 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9096 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9176 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9426 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9353 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9036 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9004 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 8679 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 9063 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 8860 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1612, cell 8444 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 8616 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 8395 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 8508 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 9273 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 9246 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 8473 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 8695 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 9336 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1613, cell 9123 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 8288 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 9054 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 8680 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 8373 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 8665 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 8553 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 8512 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 8892 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1614, cell 8797 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1615, cell 8285 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1615, cell 9318 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1615, cell 9015 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1615, cell 8555 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1615, cell 8374 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1615, cell 9228 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1615, cell 8472 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1615, cell 8441 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1616, cell 9084 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1616, cell 9364 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1616, cell 8574 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1616, cell 9152 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1616, cell 8363 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1616, cell 8531 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1617, cell 9309 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1617, cell 7793 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1617, cell 8061 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1617, cell 7822 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1617, cell 8800 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1617, cell 8031 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1617, cell 9680 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1618, cell 8086 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1618, cell 8592 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1618, cell 8095 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1618, cell 8930 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1618, cell 8674 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1618, cell 8834 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1618, cell 8888 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1619, cell 8455 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1619, cell 8449 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1619, cell 8554 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1619, cell 8384 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1619, cell 8796 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1619, cell 9109 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1619, cell 8235 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1620, cell 8775 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1620, cell 7585 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1620, cell 9149 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1620, cell 9444 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1620, cell 9262 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1620, cell 8795 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1620, cell 8178 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1621, cell 8719 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1621, cell 9390 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1621, cell 9370 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1621, cell 8381 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1621, cell 8741 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1621, cell 9369 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1622, cell 9483 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1622, cell 9107 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1622, cell 8558 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1622, cell 7537 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1622, cell 8561 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1622, cell 8420 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1623, cell 9186 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1623, cell 8786 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1623, cell 8080 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1623, cell 8975 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1623, cell 8870 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1623, cell 8672 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1624, cell 9136 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1624, cell 9293 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1624, cell 8823 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1624, cell 7925 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1624, cell 9346 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1624, cell 9341 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1624, cell 8748 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1625, cell 8949 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1625, cell 9319 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1625, cell 9610 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1625, cell 8910 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1625, cell 8462 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1625, cell 8943 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1625, cell 8660 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1625, cell 8328 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1626, cell 8906 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1626, cell 8684 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1626, cell 8485 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1626, cell 8394 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1626, cell 9280 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1627, cell 9562 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1627, cell 9760 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1627, cell 8811 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1628, cell 7805 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1628, cell 7548 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1628, cell 8982 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1628, cell 9026 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1628, cell 8847 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 8782 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 8968 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 8713 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 8685 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 8445 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 9721 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 8640 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 9051 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 8404 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1629, cell 8791 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 8992 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 9358 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 8337 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 8355 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 9544 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 9034 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 9222 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 8357 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1630, cell 9046 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1631, cell 8933 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1631, cell 8570 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1631, cell 9921 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1631, cell 9425 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1631, cell 9219 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1631, cell 9350 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1632, cell 9291 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1632, cell 9357 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1632, cell 9032 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1632, cell 8383 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1633, cell 9496 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1633, cell 9035 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1633, cell 8644 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1634, cell 8814 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1634, cell 8360 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1634, cell 9537 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1634, cell 8708 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1634, cell 8749 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1634, cell 9286 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1634, cell 9129 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1635, cell 8754 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1635, cell 9677 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1635, cell 8948 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1635, cell 9104 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1635, cell 8687 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1635, cell 9403 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1635, cell 8862 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1635, cell 9367 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1636, cell 8877 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1636, cell 9473 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1636, cell 9732 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1636, cell 8539 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1636, cell 8576 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1636, cell 8737 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1636, cell 9396 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1637, cell 8839 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1637, cell 9203 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1638, cell 9135 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1638, cell 9453 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1638, cell 8534 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1638, cell 9195 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1638, cell 8939 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1638, cell 9430 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1639, cell 7414 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1639, cell 7637 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1640, cell 9237 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1640, cell 8167 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1640, cell 8662 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1640, cell 9060 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1640, cell 9311 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1640, cell 8928 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1640, cell 9325 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1640, cell 9267 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1641, cell 8971 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1641, cell 8260 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1641, cell 8990 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1641, cell 9617 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1641, cell 9476 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1641, cell 8437 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1642, cell 8585 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1642, cell 8483 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1642, cell 8603 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1642, cell 8707 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1642, cell 9359 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1642, cell 9717 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1642, cell 9181 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1643, cell 8536 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1643, cell 9471 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1643, cell 9494 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1643, cell 9308 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1643, cell 8089 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1644, cell 8778 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1644, cell 8491 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1644, cell 8739 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1644, cell 8869 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1644, cell 9326 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1644, cell 8071 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 8924 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 9402 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 9636 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 8799 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 8440 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 8689 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 8128 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 8428 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1645, cell 9041 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1646, cell 8586 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1646, cell 9268 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1646, cell 8850 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1647, cell 8271 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1647, cell 8234 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1647, cell 9091 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1647, cell 8761 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1647, cell 8416 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1647, cell 9462 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1648, cell 8804 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1648, cell 8903 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1648, cell 9408 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1648, cell 8771 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1649, cell 8390 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1649, cell 8017 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1649, cell 9433 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1649, cell 9157 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1649, cell 9108 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1649, cell 9031 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 6990 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 9082 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 8315 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 9314 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 8362 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 9056 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 8186 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 9791 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 8399 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1650, cell 8864 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1651, cell 9258 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1651, cell 8655 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1651, cell 9442 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1651, cell 9294 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1651, cell 8670 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1651, cell 9089 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1652, cell 9224 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1652, cell 9265 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1652, cell 8217 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1652, cell 9800 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1653, cell 9177 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1653, cell 8718 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1653, cell 8348 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1654, cell 9418 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1654, cell 9531 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1654, cell 9220 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1654, cell 8766 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1654, cell 8890 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1654, cell 9238 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1655, cell 9201 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1655, cell 8922 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1655, cell 7936 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1655, cell 9629 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1655, cell 9583 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1656, cell 9250 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1656, cell 8597 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1656, cell 9117 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1656, cell 9008 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 9559 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 9790 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 8294 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 9087 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 9313 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 9217 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 9093 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 9696 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1657, cell 9019 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1658, cell 8973 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1658, cell 9368 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
Cycle 1658, cell 8286 died of STRUCTURAL_COLLAPSE. E: 0.00, S: 0.00
